doc	0	1	2	3	4	5	6	7
1	0.0002224205043607832	0.00022295932126470213	0.0002227233878083938	0.9984407071179741	0.00022256954938831562	0.00022289170775196645	0.00022287557236348615	0.00022285283908816906
2	0.0002747255774251103	0.0002748995779662073	0.00027490928639302864	0.0002749979354393648	0.00027479344093200896	0.9980758871548172	0.0002749018446219015	0.0002748851824051508
3	0.0006127470475155593	0.0006138945185187948	0.0006137291430145241	0.0006138638507500327	0.0006128309783923657	0.0006137642253392995	0.995705422352603	0.0006137478838663576
4	0.0006476709465130769	0.6923150533286726	0.0006481065926230362	0.3037927450941019	0.0006483437456146122	0.0006490279053488718	0.0006500977754322887	0.0006489546116935977
5	0.0007142874291847413	0.9949964301363663	0.0007150982920465169	0.0007151653292401751	0.0007144482219621343	0.0007146993095421584	0.000714770271867036	0.0007151010097909946
6	0.00047348590969651814	0.0004740816427657481	0.9966826432167115	0.00047407911262571125	0.00047361173244924826	0.00047376771141862366	0.0004740934711638425	0.0004742372031686288
7	0.0005707782907027008	0.0005715700079126972	0.0005718983472403307	0.00057188391736057	0.0005709209521120785	0.0005722650806818416	0.0005721016409538441	0.9959985817630359
8	0.0006281433466125244	0.0006291738401263474	0.11043086222302669	0.3862050028856665	0.0006293794684482622	0.0006291041850363699	0.0006295807590836193	0.5002187532919997
9	0.001068380415974313	0.4350354090525588	0.001069748107077876	0.0010706089480515943	0.001069393332843284	0.0010690786899542604	0.0010695232335385459	0.5585478582200012
10	0.00039308303268243067	0.0003937029111316403	0.00039354609915795045	0.0003936232056798953	0.00039337448059458994	0.00039367060727725603	0.00039374628155552975	0.9972452533819207
11	0.000299043682721061	0.9979047726149173	0.00029941708394240854	0.00029941601470217854	0.00029910879126661085	0.0002991975889853877	0.00029974642512849067	0.0002992977983365769
12	0.00043402899583717025	0.0004353984639141995	0.00043501385573935355	0.00043447886442227624	0.08628658064888076	0.00043424002311841665	0.0004346918332261191	0.9111055673148618
13	0.0003272264686921802	0.5233553207405638	0.00032775312601458865	0.0003277710493334229	0.0003278325289774947	0.0003276952269154262	0.08747688027029846	0.38752952058920453
14	0.0003633728436451745	0.0003636929910139636	0.9974542184309867	0.000363736881457082	0.0003636186887691341	0.0003637151140627986	0.0003637581709223177	0.00036388687914288686
15	0.0018382433145011957	0.8579699472663598	0.0018416365990339453	0.0018408113936250082	0.001839331817476512	0.0018398129600679365	0.13098919086349223	0.0018410257854434148
16	0.0003501418408334297	0.0003506153889009215	0.00035075566347470363	0.8008572730718713	0.000351041291503494	0.0003506021073007301	0.00035057240465817676	0.1970389982314573
17	0.0004370641582798665	0.0004375628721755438	0.40298404535218335	0.5943897008581016	0.00043895186090062036	0.0004374010932237281	0.0004375788686678576	0.0004376949364674772
18	0.0006410276631393865	0.000641836025419093	0.00064166532338586	0.7627750739491982	0.0006430143534568002	0.0006416995035977035	0.0006414225094918041	0.23337426067231098
19	0.0002505018555214654	0.0002508650315908361	0.06641249989153383	0.0002508546572709722	0.0002511095977824768	0.0002508400121583597	0.0002509679173747962	0.9320823610367672
20	0.0004595598250902807	0.00046021302846803783	0.00046025513347750386	0.00046003575723298847	0.00045974277811701073	0.00045983385754999796	0.9967800379465936	0.00046032167347049457
21	0.0009689967110933839	0.12280741504830538	0.0009702610213345864	0.0009707282594172644	0.0009695623436482377	0.0009703012903149634	0.0009705390280756242	0.8713721962978106
22	0.0004752868677697656	0.32765998021403026	0.00047589032565401973	0.0004761510425549603	0.00047560573081218625	0.00047663602785753915	0.6694844490207549	0.0004760007705663437
23	0.0010080684278351078	0.6514269543026207	0.0010102987196273173	0.0010099700325896385	0.001009156384044125	0.0010096509890498327	0.0010088021666290632	0.34251709897760435
24	0.00032383513221174065	0.00032415697511999493	0.00032432862408557676	0.0003244562175354244	0.21178564843849454	0.0003240073599441815	0.0003241334643991759	0.7862694337882093
25	0.00036764845616189427	0.2635460285787626	0.0003682783343623229	0.00036822891730808	0.0003678906020828517	0.0003679151127957882	0.00036792587297277416	0.7342460841255538
26	0.0008333359828831409	0.25530112713981035	0.7396939485772861	0.00083445445517103	0.0008336889347980232	0.000833956617668139	0.0008345525697498418	0.0008349357226333696
27	0.0003491626648657136	0.825846550657747	0.0003494371286106884	0.000349556491559046	0.0003493988281431748	0.0003494289208532034	0.1720569790081649	0.0003494863000560989
28	0.0009469736089516409	0.5540674128423394	0.0009478758622197746	0.10653714153187203	0.0009474005659558891	0.0009478300546440565	0.0009491876736898878	0.33465617786032736
29	0.0005630649944537286	0.000563904882023941	0.0005638805819543104	0.0005646009054732261	0.0005637185791154173	0.0005635601145633953	0.0005636877382078403	0.9960535822042081
30	0.0003272265542472955	0.0003278004818908197	0.00032770416355886215	0.7555748661081734	0.0003277337865601568	0.0003278451564846034	0.24219145284954705	0.0005953708995378208
31	0.00021663836707063738	0.0002169566960744309	0.00021690325920325202	0.5373957595932921	0.0002167263083431442	0.00021690881302100193	0.4613031631649121	0.00021694379808348308
32	0.00030864260885041976	0.00030903207641229597	0.9978376354356492	0.00030912754109935924	0.0003087958308131768	0.00030903432413940653	0.0003088373217510306	0.00030889486128513147
33	0.000319694118010699	0.9108561215620463	0.07683932989400623	0.00032029981477004046	0.00032018813257019663	0.010704204918631537	0.00031993794436746987	0.0003202236155975365
34	0.0004045321723771239	0.2825042447546462	0.00040494340371712305	0.00040506656790454114	0.000404763566919977	0.000404862863294257	0.6070183751619722	0.10845321150916855
35	0.0011467913790621574	0.9713895658360225	0.021724844619970828	0.0011487581225061258	0.0011472417721706339	0.0011473363892542964	0.0011474671024075199	0.0011479947786059272
36	0.0014045019650587025	0.4554429172253043	0.0014070691391428404	0.001406887724717029	0.001406138646443446	0.0014064314208494931	0.04818579116427601	0.48934026271420833
37	0.0005364827369947739	0.47256087543344166	0.0005370756954931967	0.0005375312523472802	0.0005369619113820643	0.08879130744647078	0.09776498082541886	0.3387347846984514
38	0.0006218924520132859	0.5944925382125598	0.000622669052145561	0.0006224215769098497	0.0006225716553051272	0.0006221124811569298	0.0006223472976473691	0.4017734472722622
39	0.00017337080024856804	0.00017360809369202518	0.00017355578716379672	0.00017361486767613222	0.00017346870899937042	0.00017352392945078438	0.9987851857821821	0.000173672030587293
40	0.0007485066041053719	0.5269950132117623	0.09911847702748014	0.07149468213444907	0.0007502342073361924	0.045169166712040805	0.000749488321069703	0.2549744317817565
